Date,Time,CO,TinOxide,Benzene,Titanium,NO2,TungstenOxide,IndiumOxide,Temperature,RelativeHumidity,AbsoluteHumidity
10/03/2004,18.00.00,2.6,1360,11.9,1046,113,1692,1268,13.6,48.9,0.7578
10/03/2004,19.00.00,2,1292,9.4,955,92,1559,972,13.3,47.7,0.7255
10/03/2004,20.00.00,2.2,1402,9,939,114,1555,1074,11.9,54,0.7502
10/03/2004,21.00.00,2.2,1376,9.2,948,122,1584,1203,11,60,0.7867
10/03/2004,22.00.00,1.6,1272,6.5,836,116,1490,1110,11.2,59.6,0.7888
10/03/2004,23.00.00,1.2,1197,4.7,750,96,1393,949,11.2,59.2,0.7848
11/03/2004,00.00.00,1.2,1185,3.6,690,77,1333,733,11.3,56.8,0.7603
11/03/2004,01.00.00,1,1136,3.3,672,76,1333,730,10.7,60,0.7702
11/03/2004,02.00.00,0.9,1094,2.3,609,60,1276,620,10.7,59.7,0.7648
11/03/2004,03.00.00,0.6,1010,1.7,561,-200,1235,501,10.3,60.2,0.7517
11/03/2004,04.00.00,-200,1011,1.3,527,34,1197,445,10.1,60.5,0.7465
11/03/2004,05.00.00,0.7,1066,1.1,512,28,1182,422,11,56.2,0.7366
11/03/2004,06.00.00,0.7,1052,1.6,553,48,1221,472,10.5,58.1,0.7353
11/03/2004,07.00.00,1.1,1144,3.2,667,82,1339,730,10.2,59.6,0.7417
11/03/2004,08.00.00,2,1333,8,900,112,1517,1102,10.8,57.4,0.7408
11/03/2004,09.00.00,2.2,1351,9.5,960,101,1583,1028,10.5,60.6,0.7691
11/03/2004,10.00.00,1.7,1233,6.3,827,98,1446,860,10.8,58.4,0.7552
11/03/2004,11.00.00,1.5,1179,5,762,92,1362,671,10.5,57.9,0.7352
11/03/2004,12.00.00,1.6,1236,5.2,774,95,1401,664,9.5,66.8,0.7951
11/03/2004,13.00.00,1.9,1286,7.3,869,112,1537,799,8.3,76.4,0.8393
11/03/2004,14.00.00,2.9,1371,11.5,1034,128,1730,1037,8,81.1,0.8736
11/03/2004,15.00.00,2.2,1310,8.8,933,126,1647,946,8.3,79.8,0.8778
11/03/2004,16.00.00,2.2,1292,8.3,912,131,1591,957,9.7,71.2,0.8569
11/03/2004,17.00.00,2.9,1383,11.2,1020,135,1719,1104,9.8,67.6,0.8185
11/03/2004,18.00.00,4.8,1581,20.8,1319,151,2083,1409,10.3,64.2,0.8065
11/03/2004,19.00.00,6.9,1776,27.4,1488,172,2333,1704,9.7,69.3,0.8319
11/03/2004,20.00.00,6.1,1640,24,1404,165,2191,1654,9.6,67.8,0.8133
11/03/2004,21.00.00,3.9,1313,12.8,1076,136,1707,1285,9.1,64,0.7419
11/03/2004,22.00.00,1.5,965,4.7,749,85,1333,821,8.2,63.4,0.6905
11/03/2004,23.00.00,1,913,2.6,629,53,1252,552,8.2,60.8,0.6657
12/03/2004,00.00.00,1.7,1080,5.9,805,97,1375,816,8.3,58.5,0.6438
12/03/2004,01.00.00,1.9,1044,6.4,829,110,1378,832,7.7,59.7,0.6308
12/03/2004,02.00.00,1.4,988,4.1,718,91,1304,692,7.1,61.8,0.6276
12/03/2004,03.00.00,0.8,889,1.9,574,-200,1187,512,7,62.3,0.6261
12/03/2004,04.00.00,-200,831,1.1,506,32,1134,384,6.1,65.9,0.6248
12/03/2004,05.00.00,0.6,847,1,501,44,1155,394,6.3,65,0.6233
12/03/2004,06.00.00,0.8,927,1.8,571,71,1223,487,6.8,62.9,0.6234
12/03/2004,07.00.00,1.4,1091,4.4,730,104,1361,748,6.4,65.1,0.6316
12/03/2004,08.00.00,4.4,1587,17.9,1236,141,1900,1400,7.3,63.1,0.6499
12/03/2004,09.00.00,-200,1545,22.1,1353,-200,2058,1588,9.2,56.2,0.6561
12/03/2004,10.00.00,3.1,1350,14,1118,122,1712,1237,13.2,41.7,0.632
12/03/2004,11.00.00,2.7,1263,11.6,1037,143,1598,1167,14.3,38.4,0.6243
12/03/2004,12.00.00,2.1,1206,10.2,986,113,1537,959,15,36.5,0.6195
12/03/2004,13.00.00,2.5,1252,11,1016,116,1593,983,16.1,34.5,0.6262
