FlowerId,FeatureNames,FeatureValues,Species
1,Sepal.Length.and.Width,5.1/3.5,setosa
2,Sepal.Length.and.Width,4.9/3,setosa
3,Sepal.Length.and.Width,4.7/3.2,setosa
4,Sepal.Length.and.Width,4.6/3.1,setosa
5,Sepal.Length.and.Width,5/3.6,setosa
6,Sepal.Length.and.Width,5.4/3.9,setosa
7,Sepal.Length.and.Width,4.6/3.4,setosa
8,Sepal.Length.and.Width,5/3.4,setosa
9,Sepal.Length.and.Width,4.4/2.9,setosa
10,Sepal.Length.and.Width,4.9/3.1,setosa
11,Sepal.Length.and.Width,5.4/3.7,setosa
12,Sepal.Length.and.Width,4.8/3.4,setosa
13,Sepal.Length.and.Width,4.8/3,setosa
14,Sepal.Length.and.Width,4.3/3,setosa
15,Sepal.Length.and.Width,5.8/4,setosa
16,Sepal.Length.and.Width,5.7/4.4,setosa
17,Sepal.Length.and.Width,5.4/3.9,setosa
18,Sepal.Length.and.Width,5.1/3.5,setosa
19,Sepal.Length.and.Width,5.7/3.8,setosa
20,Sepal.Length.and.Width,5.1/3.8,setosa
21,Sepal.Length.and.Width,5.4/3.4,setosa
22,Sepal.Length.and.Width,5.1/3.7,setosa
23,Sepal.Length.and.Width,4.6/3.6,setosa
24,Sepal.Length.and.Width,5.1/3.3,setosa
25,Sepal.Length.and.Width,4.8/3.4,setosa
26,Sepal.Length.and.Width,5/3,setosa
27,Sepal.Length.and.Width,5/3.4,setosa
28,Sepal.Length.and.Width,5.2/3.5,setosa
29,Sepal.Length.and.Width,5.2/3.4,setosa
30,Sepal.Length.and.Width,4.7/3.2,setosa
31,Sepal.Length.and.Width,4.8/3.1,setosa
32,Sepal.Length.and.Width,5.4/3.4,setosa
33,Sepal.Length.and.Width,5.2/4.1,setosa
34,Sepal.Length.and.Width,5.5/4.2,setosa
35,Sepal.Length.and.Width,4.9/3.1,setosa
36,Sepal.Length.and.Width,5/3.2,setosa
37,Sepal.Length.and.Width,5.5/3.5,setosa
38,Sepal.Length.and.Width,4.9/3.6,setosa
39,Sepal.Length.and.Width,4.4/3,setosa
40,Sepal.Length.and.Width,5.1/3.4,setosa
41,Sepal.Length.and.Width,5/3.5,setosa
42,Sepal.Length.and.Width,4.5/2.3,setosa
43,Sepal.Length.and.Width,4.4/3.2,setosa
